ts_utc,pod,container,cpu_milli,memory_mi,restarts,phase
2026-05-19T14:11:18Z,formbricks-587b784596-qlf9g,formbricks,4,457,1,Running
2026-05-19T14:11:18Z,formbricks-587b784596-zgjn5,formbricks,3,472,0,Running
2026-05-19T14:11:18Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:11:18Z,formbricks-hub-6d86596db9-7xckk,hub,1,10,0,Running
2026-05-19T14:11:18Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,6110,3041,0,Running
2026-05-19T14:11:18Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,7,9,0,Running
2026-05-19T14:11:26Z,formbricks-587b784596-qlf9g,formbricks,2,457,1,Running
2026-05-19T14:11:26Z,formbricks-587b784596-zgjn5,formbricks,4,472,0,Running
2026-05-19T14:11:26Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:11:26Z,formbricks-hub-6d86596db9-7xckk,hub,1,10,0,Running
2026-05-19T14:11:26Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,5848,3040,0,Running
2026-05-19T14:11:26Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,6,9,0,Running
2026-05-19T14:11:33Z,formbricks-587b784596-qlf9g,formbricks,2,457,1,Running
2026-05-19T14:11:33Z,formbricks-587b784596-zgjn5,formbricks,4,472,0,Running
2026-05-19T14:11:33Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:11:33Z,formbricks-hub-6d86596db9-7xckk,hub,1,10,0,Running
2026-05-19T14:11:33Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,5848,3040,0,Running
2026-05-19T14:11:33Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,6,9,0,Running
2026-05-19T14:11:40Z,formbricks-587b784596-qlf9g,formbricks,3,457,1,Running
2026-05-19T14:11:40Z,formbricks-587b784596-zgjn5,formbricks,3,472,0,Running
2026-05-19T14:11:40Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:11:40Z,formbricks-hub-6d86596db9-7xckk,hub,1,10,0,Running
2026-05-19T14:11:40Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,5695,3042,0,Running
2026-05-19T14:11:40Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,6,9,0,Running
2026-05-19T14:11:47Z,formbricks-587b784596-qlf9g,formbricks,3,457,1,Running
2026-05-19T14:11:47Z,formbricks-587b784596-zgjn5,formbricks,3,472,0,Running
2026-05-19T14:11:47Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:11:47Z,formbricks-hub-6d86596db9-7xckk,hub,1,10,0,Running
2026-05-19T14:11:47Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,5695,3042,0,Running
2026-05-19T14:11:47Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,6,9,0,Running
2026-05-19T14:11:55Z,formbricks-587b784596-qlf9g,formbricks,5,458,1,Running
2026-05-19T14:11:55Z,formbricks-587b784596-zgjn5,formbricks,3,472,0,Running
2026-05-19T14:11:55Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:11:55Z,formbricks-hub-6d86596db9-7xckk,hub,10,11,0,Running
2026-05-19T14:11:55Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,5582,3054,0,Running
2026-05-19T14:11:55Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,7,9,0,Running
2026-05-19T14:12:02Z,formbricks-587b784596-qlf9g,formbricks,5,458,1,Running
2026-05-19T14:12:02Z,formbricks-587b784596-zgjn5,formbricks,3,472,0,Running
2026-05-19T14:12:02Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:12:02Z,formbricks-hub-6d86596db9-7xckk,hub,10,11,0,Running
2026-05-19T14:12:02Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,5582,3054,0,Running
2026-05-19T14:12:02Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,7,9,0,Running
2026-05-19T14:12:09Z,formbricks-587b784596-qlf9g,formbricks,4,458,1,Running
2026-05-19T14:12:09Z,formbricks-587b784596-zgjn5,formbricks,3,472,0,Running
2026-05-19T14:12:09Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:12:09Z,formbricks-hub-6d86596db9-7xckk,hub,8,13,0,Running
2026-05-19T14:12:09Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,6324,3048,0,Running
2026-05-19T14:12:09Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,7,9,0,Running
2026-05-19T14:12:16Z,formbricks-587b784596-qlf9g,formbricks,4,458,1,Running
2026-05-19T14:12:16Z,formbricks-587b784596-zgjn5,formbricks,3,472,0,Running
2026-05-19T14:12:16Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:12:16Z,formbricks-hub-6d86596db9-7xckk,hub,8,13,0,Running
2026-05-19T14:12:16Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,6324,3048,0,Running
2026-05-19T14:12:16Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,7,9,0,Running
2026-05-19T14:12:24Z,formbricks-587b784596-qlf9g,formbricks,7,458,1,Running
2026-05-19T14:12:24Z,formbricks-587b784596-zgjn5,formbricks,7,472,0,Running
2026-05-19T14:12:24Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:12:24Z,formbricks-hub-6d86596db9-7xckk,hub,8,14,0,Running
2026-05-19T14:12:24Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,6312,3050,0,Running
2026-05-19T14:12:24Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,7,9,0,Running
2026-05-19T14:12:31Z,formbricks-587b784596-qlf9g,formbricks,7,458,1,Running
2026-05-19T14:12:31Z,formbricks-587b784596-zgjn5,formbricks,7,472,0,Running
2026-05-19T14:12:31Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:12:31Z,formbricks-hub-6d86596db9-7xckk,hub,8,14,0,Running
2026-05-19T14:12:31Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,6312,3050,0,Running
2026-05-19T14:12:31Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,7,9,0,Running
2026-05-19T14:12:38Z,formbricks-587b784596-qlf9g,formbricks,3,458,1,Running
2026-05-19T14:12:38Z,formbricks-587b784596-zgjn5,formbricks,5,472,0,Running
2026-05-19T14:12:38Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:12:38Z,formbricks-hub-6d86596db9-7xckk,hub,8,14,0,Running
2026-05-19T14:12:38Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,6354,3046,0,Running
2026-05-19T14:12:38Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,7,9,0,Running
2026-05-19T14:12:45Z,formbricks-587b784596-qlf9g,formbricks,3,458,1,Running
2026-05-19T14:12:45Z,formbricks-587b784596-zgjn5,formbricks,5,472,0,Running
2026-05-19T14:12:45Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:12:45Z,formbricks-hub-6d86596db9-7xckk,hub,8,14,0,Running
2026-05-19T14:12:45Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,6354,3046,0,Running
2026-05-19T14:12:45Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,7,9,0,Running
2026-05-19T14:12:53Z,formbricks-587b784596-qlf9g,formbricks,4,458,1,Running
2026-05-19T14:12:53Z,formbricks-587b784596-zgjn5,formbricks,2,472,0,Running
2026-05-19T14:12:53Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:12:53Z,formbricks-hub-6d86596db9-7xckk,hub,10,14,0,Running
2026-05-19T14:12:53Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,6105,3047,0,Running
2026-05-19T14:12:53Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,6,9,0,Running
2026-05-19T14:13:00Z,formbricks-587b784596-qlf9g,formbricks,4,458,1,Running
2026-05-19T14:13:00Z,formbricks-587b784596-zgjn5,formbricks,2,472,0,Running
2026-05-19T14:13:00Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:13:00Z,formbricks-hub-6d86596db9-7xckk,hub,10,14,0,Running
2026-05-19T14:13:00Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,6105,3047,0,Running
2026-05-19T14:13:00Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,6,9,0,Running
2026-05-19T14:13:07Z,formbricks-587b784596-qlf9g,formbricks,4,458,1,Running
2026-05-19T14:13:07Z,formbricks-587b784596-zgjn5,formbricks,4,472,0,Running
2026-05-19T14:13:07Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:13:07Z,formbricks-hub-6d86596db9-7xckk,hub,9,14,0,Running
2026-05-19T14:13:07Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,6234,3050,0,Running
2026-05-19T14:13:07Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,7,9,0,Running
2026-05-19T14:13:14Z,formbricks-587b784596-qlf9g,formbricks,4,458,1,Running
2026-05-19T14:13:14Z,formbricks-587b784596-zgjn5,formbricks,4,472,0,Running
2026-05-19T14:13:14Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:13:14Z,formbricks-hub-6d86596db9-7xckk,hub,9,14,0,Running
2026-05-19T14:13:14Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,6234,3050,0,Running
2026-05-19T14:13:14Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,7,9,0,Running
2026-05-19T14:13:22Z,formbricks-587b784596-qlf9g,formbricks,3,458,1,Running
2026-05-19T14:13:22Z,formbricks-587b784596-zgjn5,formbricks,3,472,0,Running
2026-05-19T14:13:22Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:13:22Z,formbricks-hub-6d86596db9-7xckk,hub,9,15,0,Running
2026-05-19T14:13:22Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,6062,3047,0,Running
2026-05-19T14:13:22Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,7,9,0,Running
2026-05-19T14:13:29Z,formbricks-587b784596-qlf9g,formbricks,3,458,1,Running
2026-05-19T14:13:29Z,formbricks-587b784596-zgjn5,formbricks,3,472,0,Running
2026-05-19T14:13:29Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:13:29Z,formbricks-hub-6d86596db9-7xckk,hub,9,15,0,Running
2026-05-19T14:13:29Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,6062,3047,0,Running
2026-05-19T14:13:29Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,7,9,0,Running
2026-05-19T14:13:36Z,formbricks-587b784596-qlf9g,formbricks,4,458,1,Running
2026-05-19T14:13:36Z,formbricks-587b784596-zgjn5,formbricks,3,472,0,Running
2026-05-19T14:13:36Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:13:36Z,formbricks-hub-6d86596db9-7xckk,hub,10,15,0,Running
2026-05-19T14:13:36Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,6251,3050,0,Running
2026-05-19T14:13:36Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,7,9,0,Running
2026-05-19T14:13:44Z,formbricks-587b784596-qlf9g,formbricks,4,458,1,Running
2026-05-19T14:13:44Z,formbricks-587b784596-zgjn5,formbricks,3,472,0,Running
2026-05-19T14:13:44Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:13:44Z,formbricks-hub-6d86596db9-7xckk,hub,10,15,0,Running
2026-05-19T14:13:44Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,6251,3050,0,Running
2026-05-19T14:13:44Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,7,9,0,Running
2026-05-19T14:13:51Z,formbricks-587b784596-qlf9g,formbricks,6,458,1,Running
2026-05-19T14:13:51Z,formbricks-587b784596-zgjn5,formbricks,4,472,0,Running
2026-05-19T14:13:51Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:13:51Z,formbricks-hub-6d86596db9-7xckk,hub,10,15,0,Running
2026-05-19T14:13:51Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,5934,3048,0,Running
2026-05-19T14:13:51Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,8,9,0,Running
2026-05-19T14:13:58Z,formbricks-587b784596-qlf9g,formbricks,6,458,1,Running
2026-05-19T14:13:58Z,formbricks-587b784596-zgjn5,formbricks,4,472,0,Running
2026-05-19T14:13:58Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:13:58Z,formbricks-hub-6d86596db9-7xckk,hub,10,15,0,Running
2026-05-19T14:13:58Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,5934,3048,0,Running
2026-05-19T14:13:58Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,8,9,0,Running
2026-05-19T14:14:05Z,formbricks-587b784596-qlf9g,formbricks,4,458,1,Running
2026-05-19T14:14:05Z,formbricks-587b784596-zgjn5,formbricks,3,472,0,Running
2026-05-19T14:14:05Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:14:05Z,formbricks-hub-6d86596db9-7xckk,hub,9,15,0,Running
2026-05-19T14:14:05Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,5841,3044,0,Running
2026-05-19T14:14:05Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,8,9,0,Running
2026-05-19T14:14:13Z,formbricks-587b784596-qlf9g,formbricks,4,458,1,Running
2026-05-19T14:14:13Z,formbricks-587b784596-zgjn5,formbricks,3,472,0,Running
2026-05-19T14:14:13Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:14:13Z,formbricks-hub-6d86596db9-7xckk,hub,9,15,0,Running
2026-05-19T14:14:13Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,5841,3044,0,Running
2026-05-19T14:14:13Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,8,9,0,Running
2026-05-19T14:14:20Z,formbricks-587b784596-qlf9g,formbricks,3,458,1,Running
2026-05-19T14:14:20Z,formbricks-587b784596-zgjn5,formbricks,3,472,0,Running
2026-05-19T14:14:20Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:14:20Z,formbricks-hub-6d86596db9-7xckk,hub,9,15,0,Running
2026-05-19T14:14:20Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,5785,3043,0,Running
2026-05-19T14:14:20Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,8,9,0,Running
2026-05-19T14:14:27Z,formbricks-587b784596-qlf9g,formbricks,3,458,1,Running
2026-05-19T14:14:27Z,formbricks-587b784596-zgjn5,formbricks,3,472,0,Running
2026-05-19T14:14:27Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:14:27Z,formbricks-hub-6d86596db9-7xckk,hub,9,15,0,Running
2026-05-19T14:14:27Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,5785,3043,0,Running
2026-05-19T14:14:27Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,8,9,0,Running
2026-05-19T14:14:35Z,formbricks-587b784596-qlf9g,formbricks,3,458,1,Running
2026-05-19T14:14:35Z,formbricks-587b784596-zgjn5,formbricks,3,472,0,Running
2026-05-19T14:14:35Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:14:35Z,formbricks-hub-6d86596db9-7xckk,hub,9,15,0,Running
2026-05-19T14:14:35Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,6242,3043,0,Running
2026-05-19T14:14:35Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,8,9,0,Running
2026-05-19T14:14:42Z,formbricks-587b784596-qlf9g,formbricks,3,458,1,Running
2026-05-19T14:14:42Z,formbricks-587b784596-zgjn5,formbricks,3,472,0,Running
2026-05-19T14:14:42Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:14:42Z,formbricks-hub-6d86596db9-7xckk,hub,9,15,0,Running
2026-05-19T14:14:42Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,6242,3043,0,Running
2026-05-19T14:14:42Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,8,9,0,Running
2026-05-19T14:14:49Z,formbricks-587b784596-qlf9g,formbricks,3,458,1,Running
2026-05-19T14:14:49Z,formbricks-587b784596-zgjn5,formbricks,4,472,0,Running
2026-05-19T14:14:49Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:14:49Z,formbricks-hub-6d86596db9-7xckk,hub,9,15,0,Running
2026-05-19T14:14:49Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,5842,3042,0,Running
2026-05-19T14:14:49Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,8,9,0,Running
2026-05-19T14:14:56Z,formbricks-587b784596-qlf9g,formbricks,3,458,1,Running
2026-05-19T14:14:56Z,formbricks-587b784596-zgjn5,formbricks,4,472,0,Running
2026-05-19T14:14:56Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:14:56Z,formbricks-hub-6d86596db9-7xckk,hub,9,15,0,Running
2026-05-19T14:14:56Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,5842,3042,0,Running
2026-05-19T14:14:56Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,8,9,0,Running
2026-05-19T14:15:04Z,formbricks-587b784596-qlf9g,formbricks,3,458,1,Running
2026-05-19T14:15:04Z,formbricks-587b784596-zgjn5,formbricks,3,472,0,Running
2026-05-19T14:15:04Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:15:04Z,formbricks-hub-6d86596db9-7xckk,hub,9,15,0,Running
2026-05-19T14:15:04Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,6157,3041,0,Running
2026-05-19T14:15:04Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,8,9,0,Running
2026-05-19T14:15:11Z,formbricks-587b784596-qlf9g,formbricks,3,458,1,Running
2026-05-19T14:15:11Z,formbricks-587b784596-zgjn5,formbricks,3,472,0,Running
2026-05-19T14:15:11Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:15:11Z,formbricks-hub-6d86596db9-7xckk,hub,9,15,0,Running
2026-05-19T14:15:11Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,6157,3041,0,Running
2026-05-19T14:15:11Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,8,9,0,Running
2026-05-19T14:15:18Z,formbricks-587b784596-qlf9g,formbricks,3,458,1,Running
2026-05-19T14:15:18Z,formbricks-587b784596-zgjn5,formbricks,3,472,0,Running
2026-05-19T14:15:18Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:15:18Z,formbricks-hub-6d86596db9-7xckk,hub,9,15,0,Running
2026-05-19T14:15:18Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,6157,3041,0,Running
2026-05-19T14:15:18Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,8,9,0,Running
2026-05-19T14:15:25Z,formbricks-587b784596-qlf9g,formbricks,5,458,1,Running
2026-05-19T14:15:25Z,formbricks-587b784596-zgjn5,formbricks,3,472,0,Running
2026-05-19T14:15:25Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:15:25Z,formbricks-hub-6d86596db9-7xckk,hub,9,15,0,Running
2026-05-19T14:15:25Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,5938,3042,0,Running
2026-05-19T14:15:25Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,8,10,0,Running
2026-05-19T14:15:33Z,formbricks-587b784596-qlf9g,formbricks,5,458,1,Running
2026-05-19T14:15:33Z,formbricks-587b784596-zgjn5,formbricks,3,472,0,Running
2026-05-19T14:15:33Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:15:33Z,formbricks-hub-6d86596db9-7xckk,hub,9,15,0,Running
2026-05-19T14:15:33Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,5938,3042,0,Running
2026-05-19T14:15:33Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,8,10,0,Running
2026-05-19T14:15:40Z,formbricks-587b784596-qlf9g,formbricks,54,457,1,Running
2026-05-19T14:15:40Z,formbricks-587b784596-zgjn5,formbricks,3,472,0,Running
2026-05-19T14:15:40Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:15:40Z,formbricks-hub-6d86596db9-7xckk,hub,9,15,0,Running
2026-05-19T14:15:40Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,6376,3041,0,Running
2026-05-19T14:15:40Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,9,9,0,Running
2026-05-19T14:15:47Z,formbricks-587b784596-qlf9g,formbricks,54,457,1,Running
2026-05-19T14:15:47Z,formbricks-587b784596-zgjn5,formbricks,3,472,0,Running
2026-05-19T14:15:47Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:15:47Z,formbricks-hub-6d86596db9-7xckk,hub,9,15,0,Running
2026-05-19T14:15:47Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,6376,3041,0,Running
2026-05-19T14:15:47Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,9,9,0,Running
2026-05-19T14:15:54Z,formbricks-587b784596-qlf9g,formbricks,4,457,1,Running
2026-05-19T14:15:54Z,formbricks-587b784596-zgjn5,formbricks,3,472,0,Running
2026-05-19T14:15:54Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:15:54Z,formbricks-hub-6d86596db9-7xckk,hub,10,15,0,Running
2026-05-19T14:15:54Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,5887,3043,0,Running
2026-05-19T14:15:54Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,8,9,0,Running
2026-05-19T14:16:02Z,formbricks-587b784596-qlf9g,formbricks,4,457,1,Running
2026-05-19T14:16:02Z,formbricks-587b784596-zgjn5,formbricks,3,472,0,Running
2026-05-19T14:16:02Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:16:02Z,formbricks-hub-6d86596db9-7xckk,hub,10,15,0,Running
2026-05-19T14:16:02Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,5887,3043,0,Running
2026-05-19T14:16:02Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,8,9,0,Running
2026-05-19T14:16:09Z,formbricks-587b784596-qlf9g,formbricks,3,457,1,Running
2026-05-19T14:16:09Z,formbricks-587b784596-zgjn5,formbricks,4,472,0,Running
2026-05-19T14:16:09Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:16:09Z,formbricks-hub-6d86596db9-7xckk,hub,9,15,0,Running
2026-05-19T14:16:09Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,6342,3044,0,Running
2026-05-19T14:16:09Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,8,9,0,Running
2026-05-19T14:16:17Z,formbricks-587b784596-qlf9g,formbricks,3,457,1,Running
2026-05-19T14:16:17Z,formbricks-587b784596-zgjn5,formbricks,4,472,0,Running
2026-05-19T14:16:17Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:16:17Z,formbricks-hub-6d86596db9-7xckk,hub,9,15,0,Running
2026-05-19T14:16:17Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,6342,3044,0,Running
2026-05-19T14:16:17Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,8,9,0,Running
2026-05-19T14:16:24Z,formbricks-587b784596-qlf9g,formbricks,3,457,1,Running
2026-05-19T14:16:24Z,formbricks-587b784596-zgjn5,formbricks,4,472,0,Running
2026-05-19T14:16:24Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:16:24Z,formbricks-hub-6d86596db9-7xckk,hub,9,15,0,Running
2026-05-19T14:16:24Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,6192,3042,0,Running
2026-05-19T14:16:24Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,8,9,0,Running
2026-05-19T14:16:31Z,formbricks-587b784596-qlf9g,formbricks,3,457,1,Running
2026-05-19T14:16:31Z,formbricks-587b784596-zgjn5,formbricks,4,472,0,Running
2026-05-19T14:16:31Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:16:31Z,formbricks-hub-6d86596db9-7xckk,hub,9,15,0,Running
2026-05-19T14:16:31Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,6192,3042,0,Running
2026-05-19T14:16:31Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,8,9,0,Running
2026-05-19T14:16:38Z,formbricks-587b784596-qlf9g,formbricks,3,457,1,Running
2026-05-19T14:16:38Z,formbricks-587b784596-zgjn5,formbricks,3,472,0,Running
2026-05-19T14:16:38Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:16:38Z,formbricks-hub-6d86596db9-7xckk,hub,9,15,0,Running
2026-05-19T14:16:38Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,6044,3043,0,Running
2026-05-19T14:16:38Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,8,9,0,Running
2026-05-19T14:16:46Z,formbricks-587b784596-qlf9g,formbricks,3,457,1,Running
2026-05-19T14:16:46Z,formbricks-587b784596-zgjn5,formbricks,3,472,0,Running
2026-05-19T14:16:46Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:16:46Z,formbricks-hub-6d86596db9-7xckk,hub,9,15,0,Running
2026-05-19T14:16:46Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,6044,3043,0,Running
2026-05-19T14:16:46Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,8,9,0,Running
